text	label
"That will be sensible decision by Trump if he start negotiations with North Korea  instead of   making   threats of war. You cannot underestimate  country with nuclear weapons. This is  not Syria, Afghanistan where you can test your bombs, even there they have not achieved anything substantial except innocent killings."	1
U know that buffalow meat is a perfect meat..im right  yummy!	0
hahahahaha brilliant. was wondering why i keep getting wound up	1
Satarupa Pal you stupid I am not. In fact you copper chamchma of Modi and therefore you are not able to the constructive criticism.	1
POLITICS ISNT FOR THE HONEST... THIS IS INCREDIBLE NEW INDIA ..WE ALL SHOULD BE ASHAMED OF #LongLiveRevolution	1
he is right as he follows a donkey...so having brain and smartness is completely ruled out..who needs harvard when you have patanjali..	1
how Pakistan army caught them?? Pakistan army cross border?? or they came here to Pakistan?  the most lier nation is ENDian.	0
"Dude be precised... Hard work in right direction... Otherwise it only deteriorates you developing into psychosis #Fact"	0
"Before i use to watch Times now, but seems now they are biased and  the fun of watching of that channel is gone now"	0
It would be more appropriate to levy a fee to enter the bank's branch/ATM	0
"trump goona clean terotist ,,like Isis ,u think him racist ,"	1
Obviously haven't read about turning the other cheek. Funny kind of Christian fellow.	1
"Its the same world wide fight from nation to nation, all caused by islamic hate."	1
"Ankit Prasad forget about banning us. Remember we are not afraid of such type of banns"	1
Could of bought South Africa for that. Think the Gupta's got a bargain.	1
"Fake publisity nothing else, ,"	1
"BJP's arrogance, and who is responsible ?  People in millions hv voted for Modi. Nw face d music."	1
Subramaniam has a grudge that he was not made a FM	0
"Hi Sonia AnujJi....pls throw some light on Pharma Sector, r d rates not appealing ?"	0
A person whose nothing without electricity and loudspeakers !!!May Allah swt forgive u for your ignorance..and guide u to accept islam .i pray one day muslims wake up to hear your beautiful voice saying the azaan ..	1
"Mental status of equating some sings played in navarathri once in a year to everyday loud speaker calling for Azan five times a day is simple a mental bancrupcy of so called liberals they would anything and everything to defend illogical practices but will question every practice about Hinduism , that is why I call them so called liberals they are only liberals for some section not for majority"	1
People in Tamilnadu have some sort of inferiority complex( I really don't know why) and that is why they are so servile!	1
RSS people starts boiling when any body says about secularism and start giving their own bised definition of secularism. This communal thought was first inducted by Sarwarkar in the year 1910 in Indian freedom straggle and and terminated at the birth of  RSS in 1925 along with another communal organisation MUSLIM  LEAGUE. These organisations seldom taken part in the straggle of India.	1
Wat does Congress mean ........ corruption parties for 70 years	0
You should arrange an convention in Los Angeles gonna come there I have some questions regarding this	0
"And Also Kindly ref. our site http://www.perscitustech.com for Intraday , Shot term n Investment calls"	0
"Very surprising. Looking to Tata's track record, one should wait till the details to come out before reaching to any conclusions."	0
Is this the right time invest in pharma sector or wait for donald trumps new announcements	0
I am not agree on your statement	1
He was a loser like khujli who after cheating for his scholarship indulged in all kinds of  red and green type of nonsense and chose the way out after realizing that he could not cope.	1
Good things does not want to realise by the rude kings...	0
"Non-physical banking transactions should be an option for General Public , Specially in country like India."	0
First dogs like Digvijaya Singh need to be put to sleep and then one must analyze what to do with Pakistan.	1
Abid...  1st news for your country and just wait...  We will punish Pakistan very badly	1
"People wait in front of theatres in long queues to get tickets of their favourite celebrity movies, they wait for so long to see their favourite celebrities everywhere possible - cricketers, movie stars etc. why not for a good cause"	0
Retards around howering about AK jhahhaa	0
Really sad to hear this. One of the few respected gentlemen and eloquent speakerðŸ˜Ÿ	0
Hope he will take the tata into a new level. #chandrasekaran. #TATA	0
Incident really u bakhts r all blind drink cow urine and sleep bloody bakhts	1
Every problem create new opportunity just U have to grab it. GD initiative by big bazar	0
#ENTERTAINMENT | Who is your favourite Bollywood mother?	0
"My dear, vishesh films which is Bhatt's production bring Kangana a star status   To sm extent  she is correct but als talking such rubbish is wrong   She even herself is promoted by Aditya Pancholi...."	1
Vijayan said the RSS is opposed to the idea of secularism.	1
Some parents don't know how to bring up their children this is the one reason.they r spoiling their children's life without knowledge.parents anger could make their children to stay away from them.short temper parents very dangerous to their children	1
Modi is great. He does his homework very well and think for Indian common man.Keepit u we are not with you sir.	1
Seven of eight of saarc counries'is the part of great cpec project even whole globe wants to part of cpec'but a Gelious india did'nt to part of great progress of the region	0
What was their business? Oil black marketing. Bloody thieves just defaming Islam.	1
"Leave him alone. He wants to get back to academics. Tomato dal beans and other veggie is bringing tears in our eyes and u want to extemd his term to II, what good has he done"	1
"U got her wrong...  Killing innocents was also a part of our freedom struggle...  Remember General Dyre did this in Jallianwala Bagh...  So she is justified in saying the ppl who committed the murder were innocent, just like the way General Dyre was, and later the British public showed solidarity towards him..  Everything was a part of the 200 yr long struggle..."	1
Bara shor machaya hua the terrorist terrorist  now don't cry when we hang one. Mend yourself before 47 repeats itself	1
First let him fix the money crisis!.... After that we will think about 2022!!!!	1
Thomas Kuruvilla Baven btw you are a European breed........and we dont consider you as keralite	1
"I am happy to see officer in tears. The police becomes so aggressive and abusive when some poor, helpless common men come before him. Without listening they start thrashing to aam aadmi. When such goon behaves in this manner they now realised plight of poor man. This lady does not deserves police uniform, better she be posted in HQ, a peaceful tenure."	1
Gone out of  mind	1
"ðŸš¨DO YOU LIKE ONLINE JOBðŸš¨  ðŸ™â€â™‚i am .. .Sanjay ONLINE JOB EXPERT  ðŸ‘‡âœHOW TO DOðŸ¤”ðŸ¤”  1âƒ£GOTO GOOGLE PLAY STORE 2âƒ£ TYPE *CHAMPCASH* APPLICATION  3âƒ£ INSTALL THEN SIGN UP 4âƒ£PUT MY REFER ID- 5126264 5âƒ£ YOU HAVE TO MUST INSTAL SOME APPS  6âƒ£ 7 LEVEL INCOME HERE  7âƒ£SHARE YOUR REFER ID MORE FRIENDS ðŸ™‹â€â™‚MORE INFO WHATSAPP ME *+919255736374*  ðŸš¨ *MY REFER ID IS- ""5126264*  This is a multi level marketing company like that *CHAMPCASH*"	0
If bjp wins in mcd then there is no comes in any change in MCD . please give ur vote to see the the ten  years work of bjp in MCD . if u think there will no work in MCD any party come then why we give one chance to aap in mcd	0
I believe  respect  each  others  views. .ðŸ˜Š	0
International courier & cargo bookings special rates extended to this month end  and also offering franchisee & zone Master Franchisee cnt : 9738406045	0
"Reservation is not poverty alleviation scheme, it is there for only those social groups, historically who has been exploited, marginalized, rendered weaker. Muslims wanted window within OBCs, Supreme Court says, you can create subwindow within OBCs, without breaching 50% barrier, but not on the basis of religion."	1
"Did any Muslim of our country say anything about this,if yes then I will be really happy for that"	1
We follow your words but your network seams to be very slow. Due to that we are facing more teething issues.	1
Wth ? Didn't expect this from Indian express. Losing faith in journalism day by day. How can you manipulate the news ?	1
What this broker talking about?	1
"Very true Prashant Suvarna This facilities should be given to soldiers who are *playing*with there life to protect our country, where as sport person play for our country no doubt, but our government give them crores of money where as soldiers not get pension also..."	0
Guys who ever speaking against beloved PM ... think once before you comment ... India is a vast country .. it is not small like Singapore to change in one or two years ...	0
"Kajol clarified saying...she was eating aunty not Mommy.. go to her house.. you cowards.. and punish her, if you've guts.. hypocrites.."	1
"A bit frightening,  India moving so fast towards Cashless  Society--  great achievement."	0
In UP cow's life 'is more valuable than human's . What is the langot CM of that state doing	1
"And she is lucky she has a choice. Every working mother would love to spend more time with family, but for so many the reason to work is because they need the money to run the home. She comes across as some kind of twit"	1
"Yes he is right If he would have joined arvind could hv done anything"	0
How bad would Michael Phelps feel about not representing india in these Olympics? ðŸ¤”	0
He can be easily manipulated!  Anna Hazare is Poor Man who does not understand politics!! In reality Arvindji took all pains for the people!!!	0
No brother everyone is not like that. It is the media only who divide but i think that it is the right time for equality.	1
Will the rate cut have any impact on the real estate sector? Do you see real estate stocks surge tomorrow?	0
Moreover that idiot is fan of Terrorist Yakub Menon	1
Reservation and terrorism are the biggest problems India is facing right now.	1
We request to Indian embassy Riyadh please take action	1
Chances  of market  going  down  below  8600 in Oct	0
Legal route can only be a review petition to the Supreme Court: Pawan Goenka	0
"Shops, public transport, other businesses and educational institutions remained closed for the second consecutive day on Tuesday."	0
Covering AAM from GOVt schemes is OK. But Delhiwalas don't want to see the face of Kejri as well.	1
"If this becomes a reality , we could save a lot of time & money ."	0
hello I was at wokhardt hosp with dengue was cured nicely within 7 dates except for one dr bhagwati every one was good	0
"It's okay, it's not such a big deal to make such a huge issue of it :/"	0
There is nothing wrong or right .....it is the way you look at your own geomentry of the brain ....reorientation for  neil is recommended to fix is brain from the virus	0
"Waw, so some news papers decide, narrative. Why u guys jumping gun. Plz don't forget Americans voted to Donald Trump inspite of so much narrative against him. Don't decide & paint with your own imaginations, time will decide."	1
"Hi Anuj, can I have your view on Balkrishan Industries and Sun Pharma."	0
Awesome use of pen there...beautiful writeup..	0
"Am I the only one who is not bothered by the music? I don't understand it but it is different, isn't it?"	0
Of course it very citizens responsibility....but why don't the government bring GO's to abolish plastic bags and organise garbage vehicles to pick up dry and wet waste separately and dump the garbage in a proper way...PM sir...you are the man of the country and you have the power...speeches are good but let us see some action...you have also introduced.5% swatch Bharath tax...!!!	1
Why? They are selected not on their merits but loyalty to ideology and ability to support first family and their alleys.	1
"Plz give govt Retired pensioner s....income tax cutting in pension..,. because they r living few years so kindly"	0
UP one of most worst state in India doesen  matter who ever rule	1
Krk when born he mistakenly drop by doctor and he hit the deck by head side ...that's why he is abnormal ...so ignore this poor Krk...he even don't know why he is born ...!	1
"Claridges and The Savoy ,the two famous London hotels ,have Gordon Ramsay restaurants."	0
"One word for you NDTV , you guys are morons"	1
"Close your eyes and go in the realm of the mind, let the spell take over your thoughts. Dance to the music of your imagination. Vivacity is live now at : http://vivacity.lnmiit.ac.in/ #vivacity #A_Surreal_Symphony"	0
"Bot On Fire ðŸ’™ Powered By ðŸ’™ Md Adnan ðŸ’™   Self Site <3 Faxt.tk <3 Site By ðŸ’š Usama Ahmad ðŸ’š"	0
Yedyurappa . ? The one behind the iron oar scam?	0
When people will stop listening to your song ?	1
Vemula Karthik Mr. Andhra have you visited Kerala and its restaurants ever. Try our parota and beef fry or curry and check out the customers who eat them. Ask them their religion and you might get a whack on your face.	1
"56 inch chest is watching mutely & doing Kadi nenda , while jawans r dying & he is throwing few jumlas to make bhakts happy.  They don't have semblance of shame & they r gud at making politics on gow Mata etc."	1
"The moment GurMehar took her Martyred Army Father's name to publicize her support for separatism, it can no more be counted as just her personal opinion.  If she had made that statement without taking refuge in martyrdom of her father then only it could have been treated as a personal opinion.  As of now her statement implies that her Ex-Army father and even many in Indian Army too would have been in support of her statement."	1
"Bhaijan please bring cash from Swiss banks , I am waiting for past 2 1/2 year's will get 15 lakhs, but u given babaji ka Tulu... to everyone ... BC"	1
Yes. During British period navab of Junagadh organized a grand marriage ceremony of his pet dogs . During the partision he carried his pets to Pakistan and left behind his wives in India .	0
do something solid and satisfactory pakistan will never change but we have to change	1
This happened when the civilians were fighting for cows and azaan.	1
"India's tactic to divert attention from Kashmir issue, because India is under tremendious pressure from international community and great struggle by people of kashmir..."	0
I am so proud of you Antoinette!!! You've done an amazing job in helping these children.	0
As long we have people like him in India nothing will change. ðŸ˜‚ðŸ˜‚ðŸ˜‚.	1
"I am gonna wait for 3 days 4 our PM to react Else we should react"	0
"Now Godse School will come up, because these people are Godse Bhakts."	1
In india now launch bs4 bt the other countries are advenced from india	0
ISI doesn't require but actual Baloch peoples are in search of help	0
"Its easy for jeff to say that now cos he has reached a level in life.  Starters and startups will do something new to match Amazon and hence criticism"	0
why india govt not  taken any seviour action aignest pakistan..	0
Han bhai chutiya hu me...i prefer humans over cows.... Development over rhetoric....facts over hoax....truth over media....and sleep over messing with u... Good night.	0
"Also name caste,community, blood group of all topers."	1
"My heartily congratulations to Kanagana ... at least someone in Bollywood have guts to point finger on Karan... we all have witness the Karan being brand ambassador of Alia Bhatt... I hope directors and producer will think over this and will responsibly promote deserving talent ..!!!"	0
You mean there is no dust in america... lol.. can't stop my laugh after reading your comment... ha ha ha ha	0
"Can't compare Trump's America and Modi's India beyond a point.   There, murderers end up as convicted prisoners.   Here, they end up as glorified politicians."	1
Muslims r getting lynched every other day by hindu fanatics who r supported by BJP and their communal police. How can Muslims in India be happy?	1
Awan Muhammad  U dont know what is the power of our soldiers..	0
"Unfollow and unlike this  Indian express always spreads negativity, don't let them get followers and our attention towards their posts"	1
Dude you've killed lakhs of Pandits and now you don't interfere in a Bhajan and suddenly you become secular :-D	1
Anyways black money ppl poses all the skills continue their play	0
"First of all,there is no gaurakshak in assam.the villagers beaten those two thieves...these things happen,when thieves try to steal the only property farmers have."	0
"What happened to his promise of bringing back Swiss black money back to India. All false promises. What happened with demonetization, could he unearth back money? He gave a chance for all black money holders to convert into white money. Bank were with no money which was held with black money holders. People are fooled..   It's like digging a mountain to catch a small mice."	1
Johar ! Come on accept it ! ðŸ¤˜ðŸ»ðŸ˜	0
"Get it- Taslima Nasrin is a prostitue."	1
again miss Venezuela or miss Philippines will win it ðŸ˜•	1
"India must prevent Pak soldiers to cross LOC and their coming into India stealthily at all cost. For that purpose we should use bullets liberally. At the same time, India should also slap a trade embargo on Pakistan, and urge and  convince the US and other powerful nations to introduce economic sanctions against Pakistan for an indefinite period. Then only this terrorist state would be brought down to its knees."	0
This is good for AAP	0
"He is real culprit ..why he didn't disclosed all this before his dismissal from AAP, so long as he was continued he will be silent...???"	1
"Everthing happens for gud , swami is true in all sense ,and wht ever congress had done in last 10 yrs has adversly effected india ,as its clear congress was selling india, luking to other procpective rajan is nt lucky for india might new governor brings gud luck and gud fortune for india , god bless india"	1
Inspirational person who seems to possess a gd heart and gd intentions.	0
"over step with adidas ...first never follows -adidas advt--> from james bond ""world is not enough """	1
What is the use or becoming a boss when no public support is there.	0
Bina sahu u r also a non iitian so shut the fk up.	1
Sorry bro but begging is ur habit...first you used to beg from America now from china...and as a matter of fact its collaboration of indo russian venture...not isreal..	1
Thanks CNBC / Sonia Shenoy. More sweetness in Speech than market action.	0
"The way some journalists go out of the way to argue for and support Afzal Guru and his supporters, I wish it is much better if they openly support Rahul Gandhi and Congress than this"	1
Hi I have 500 Shares Donear exit or wait. Position @62.50	0
RM and Sushma Swaraj are the only working people in BJP. Rest are just religious politics and campaigning...	1
such ministers should teach lessons for misuse of powers..n we the public only choose such illitrate n gundas ministers .	1
a team of people being yelled at by one person	1
PM has mandated Cabinet ministers to focus on job creation: Commerce Minister	1
"Ohhh chill man dnt go fr watch dis mv n distribute milk to poor of movie ticket priceðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ Ya it's wasting of milk u rut but we can also lv without watching mv but no one can lv without,start act tdy then u cn complaint abt other"	1
same as india doesnt follow Un  orders same way pak wl not accept it	1
"His followers are not as sensible as he is, are they?"	1
Have you ever come across a man winning a debate with a woman. Even in this debate the woman wins.	1
excellent launch considering they are now focussing on south american market.	0
I think india should start by stomping foot on news channels like u	0
Once his term comes to end he will say give me another 5 yrs by that time he will completely ruin the country	1
and they only have about 25 times the population!  What an achievement!  Let's all move to India!   NOT!	0
Pankaj Nandeshwar people against whom baba sahab fought whole life to bring honour for oppressed class who were being humiliated for time immemorial by these people today to get the votes of dalits they r showing themselves proponent of baba sahab	1
"Wipro Guidance: Q1 IT services revenue growth seen at $1,915 m-1,955 m"	0
U could hv give slap that MLA.	1
It's all abt ur religion.. u think if BJP comes ur religion will stop getting appeased	1
Great Move Modi jee u have set another example  king nd its fraternity will always get cake.. Its the foolish 'subjects' who r sufferer. I did not dare to use wird 'citizens'.. Still i will wait for ur move for party money management.. Alasss once more..	1
"Where is Intolerance indian Groups ....Where is all.khan .... Amir khan muslim...on talking Every thinks...."	1
BJP MLA is most powerful position today. Police officer need to understand.	1
Hmm..thou art so tippy to get chorused at your save.	0
"What about BJP, why not freedom from BJP!!!"	1
How much the govt is going to deduct as tax is a big question mark. ðŸ˜ƒ	0
Muslims ruling parties would never do what the present parties are trying to do.	1
"dont see Mayawatiji's statement with communal angle, see her statement from the angle of seeking for justice and good administration, BJP,SP ruined it badly, its time to fix it."	1
Happy new year ekta What view of NDFC company stock view	0
Kuwait Suspends Issuance Of Visas For Nationals Of 5 Muslim-Majority Countries Including Pakistan	0
"Not 2000, it's 5000, Official report 2000 But  Unofficial Killed & missing 5000"	0
I don't need to own them when I can afford to use them	1
"Gud luck sir...the so called 'Elite' who reaped the benefits of the corrupt establishment will try everything to make it worse n present it in negative light...bravo sir...its was only possible by a strong leader lik to take this drastic step..... from being sceptic, I hav over a period of time become a proud 'Bhakt'...yes u read it rt u hypocrites...I m a 'Bhakt'..."	1
I stay in my wife village where at 4.30 am jain song is been played followed by azan ... people are living United. The best thing is jain song will be stopped for 5 mins Azan. That's best of South India.   Proud to be born in South India where there is no religious fight	1
Joke of the day from a joker from Jokistan. Couldn't stop laughing. ðŸ˜ðŸ˜ðŸ˜‚ðŸ˜‚	1
It is true that Azaan on loudspeakers disturbs people but why do you dont you complain against the Bhajan?	1
Wat an explanations of saving money in a different  way... Awesome NAMO... Well done... Well planned and superb perspective.... Still to go we are along with u...	0
By the way where is Lokpal.. Mr Anna..?	1
Thank you Delhi Police. Our West Bengal Police should treat Jadavpur University students the same way	1
Wht abt places whr card does nt wrk at all? Traveling by rickshaw do they expect cards?	0
"Will anyone mention this when talking about Sachin, Kohli or Dhoni? The conditions of soldiers is different issue. Sindhu and Malik earned this for their hardwork. Don't try to undermine one's success by commenting about another sensitive issue."	0
"You have no right to talk about arvind . It is arvind who brought you to Delhi and gave the fame you areTODAY. WHY not start a lokpal dharana against the present government now without the help of arvind!"	0
"1)simple congress c.e.o (or ) BJP  ceo, 2)mistry followers or rathan followers  3)mistry ideas or text book ideas -tata  4)interest of the investors-consumers or interest of the master cook   5)egg comes first or chicken comes first ....television mega serial"	0
Bro u don't need your nation u have pakistan go there	1
"India a country where scams of 1500 crores happens , so two or five crores doesnt look big , its looks only because how poor many indians are."	0
cinema took around their character very wisely nd roudram...	0
Sad but nothing compared to Hindus getting killed in Bengal kerala	1
Facing some problems of land acquisition in a few projects: Nitin Gadkari	0
CC never defined Royal Enfield. Its just the best nd no thinks of competing	0
"Indian is Indian ,the USA has no special consideration to any particular religious segment from  India"	1
"Under trails shoud not send to jails,for them separate custodial shells shall be arranged for the period of trails and shouldn't be harassed."	0
"This is cld humanity He'll gonna gv his all ipl10 earning 2 Indian army..hat's off 2 u ''GG"""	0
Check ur mother and sister is safe or  raped by Talibans	1
Govt policies implemented by civil servants and yet they are the ones most corrupt. So how can Modiji policies succeed? EG Bank managers taking a cut and converting black money to new notes by crores. No wonder there is no new notes for general public	1
Global protectionism is a big challenge for India's services sector: Commerce Minister	0
Bahi its so easy its 4time bigger country than ur Pakistan and there population will second largest population after china in Asia	0
"Remembering the media and the other political parties doing the same thing when Modi was chosen as the PM nominate of BJP, today we all know that the best thing to have happened to this country is Modi.  Getting similar feeling for Yogi now..."	1
"But we openly accept wht about you where u r 100+ jehadis were killed by Indian surgical strike. In our case we were claiming we did it n also all big country shown there support after knowledge from their satellite  Here our gov saying yes but your army chief saying we didn't do anything n no other country accepting this happend this means our strategy of army want to take advantage of this to attack on. Can't u ppl use your brain."	0
This news is completely false and baseless....There is nothing official from Kuwait	1
Oil company should ocupie all the petrol pump in up	1
Now Keynes is remembered cos Dr. Manmohan Singh quoted it in Parliament. In that sense every other quote of famous economist should be shared and which is relevant even today. There are so many economical thinking of the past which are not futuristic neither relevant in today's world.	0
Tell me about Muhammmad....go seach about true face of your islam....MC	1
BJP is following divide and rule by pushing beef ban. A party which doesn't care about human rights can never really care for animals. They messed up in North India giving rise to hatred and violence. When will they focus on real issues facing us Indians?	1
your market highlight is dim .....can you get me the sunlight ...need market photosynthesis to happen ---come on anuj ----> is this current news ?	0
Kaleem khaja get to know that it is the need ..... We have got to move towards the less cash economy...we have change we can't just keep hitting at the changing world..	1
NDTV doesn't tell us the cast of the cow !! Incomplete reporting is bad ðŸ˜‚ðŸ˜‚ðŸ˜‚	1
I agree upto that Mayajal is finished. Rest let us see.	1
Rekha Banerji U diverted from my question. How can Muslims be happy when u see every other day innocent muslims getting lynched by hindutva mobs. The criminals don't even get punished that is why it is happening with impunity.	1
Thats why he always deserve slaps. ;)	1
"Is it buy at dips then ??? What do u think , pls suggest ?"	0
We actually need strict application of laws for such senseless drivers ..	0
"True bmc the so called bastion of Shiv Sena,but the numbers tell a different story. Had the shs impact been there they would have had a complete majority and the bjp would have been left decimated. Still BJP has a chance to edge ahead of shs."	1
aggression paid off or put off ??  :P :D its the time for uddhav n shivsena for introspection !	1
You have to ask that to Larry page or sundar pichai! :D	0
She said it's her choice whether to stay at home or go to work. She isn't criticising the one who choose to go to work.	1
Anna is as corrupt as BJP and congress. History will paint him in as dark as the most corrupt.	1
"Now it's time for hit the bastards hard,  no time for "" kadi ninda "" but time for action...the barbaric action shows , it's not a human work but of animals. And when pigs r gone mad , they r not treated they r shot dead. Our great army men got martyrdom ,take the revenge kill the bastards hard on their land and hard n very hard."	1
"Mr Ashish of #knowyourcompany, teach this guy se manners, how did he spoke to MD of Specialty restaurants.  Just to mention on the service charge issue if the comment of the hoteliers committee was arrogant, then just see the episode once again to see what you did there.  You are nothing as compared to him, these things don't look good on television, we didn't turn it on to see your arrogance."	0
"is it the good time to buy jsw steels? is it the good time to buy jsw steels?"	0
"Communal sharks are the reason for all this confusion, they are adding salt into the festering wounds of the ADMK by using OPS to get a foot hold into TN politics. The people of TN should keep this communally disruptive agenda at bay. Or else communal harmony will be lost in this most peaceful state of India."	1
"Rahul new guru is Arvind Kejriwal, god knows which is good joker ,  why they do not apply for Pakistan PM"	1
Politics should not come in front... and play with it	0
"Please leave this secular stands, do something good to society"	0
"False news , just like it's allies west and America"	0
It's true bro - i wonder how beautiful she is in person n how wonderful it would be to actually meet her - cloud 9 fever	0
Modi sir i  support  u nd those all who r against u they r jokers	1
"we belong to zoological park ...tarzan community ""  recommends smile for success even when you are seated in a hot seat ..400 degree celsius -just smile ...best dress you wear ."	1
Hehe Anuj thank you for acknowledging dear and thank you for answering	0
"Congress required to accept that lower,medium and common peoples had left faith on them due to their ill planning .They have to accept that there is no leader who can come forward  to take challenge to re-strengthen the party and come atpar with Sh.Narinder Modi &Amit shah BJP Party."	1
Oh !  I forget actually  whole pakistan is a jahannum .& choosa  aam by chinese.	0
"Black money,terrorist and smuggler all will be wiped out.Off course builders."	1
"Good evening sir am fro Muscat, i do have shares of spice jet bought at around 64â‚¹-8k shares. Does this will fly in near future or going to land."	0
Please guys... stay patience.... we will see... we waited these many years... why can't we wait for few more months	1
What kind of media is this!!first they make headlines of indian soldiers being killed by rocket launchers n now about mutilating their dead bodies....this can happen only if Pak army crosses LOC....btw it looks like a #RealSurgicalStrike with evidences on indian media	1
it's good u r a home maker..but ur thought process needs to be refined..it stinks	1
"Devavrat Rana  for me both have to be earned, I'm perfectly detached polite until the subject helps me form my opinion of him/her"	0
Punch line... Strongly said & boldly put forward...	1
South Indians are more literate but these things proved them wrong...Such a wastage of milk.	1
"The basic question is ""has Pakistan produces somethin other than terrorism""."	1
WATCH: Yogi Adityanath began to weep while narrating his experience at the hands of the erstwhile Samajwadi Party government in UP.	1
Seeing a lot of investor interest in electric vehicles segment: Commerce Minister	0
"The less you talk of this bugger Sonu the better.People of any Faith  be it  Islam ,Hindu or Christian should have no problem when holy Azaan is sounded vide Speakers or Bhajan broadcasted through Speakers  be it at any hour of  time,we should learn to respect and acknowledge the Holy essence of both the  Religion."	1
Send him to mental hospital  he is MAD	1
"Pakistan made Indian currency over, black money holders in big trouble. We admire Modi"	0
"He is a PM with great visionary, never worried about opposition hurdles."	0
"Jude we elect our representative. Average turnout %for voting. Later we blame the corruption"	1
Some of the rural areas no power..so first step we need to take that...	0
"N let me tell u ...u r not awesome , u r flawsome kind of guy ...go and get a life."	1
All terrorist are muslim but all muslim are not terrorist	1
"Yes wat abt baloch, Sindh, and killings of afghanis and pashtuns? stfu bikhari"	1
Janata Dal (United) leader Sharad Yadav is tipped to emerge as a likely consensus candidate in this coming together of the opposition parties. Yadav said that the unity among anti-BJP parties has already begun in the Parliament and was now expanding to the ground as well.	0
"Really DTAA will force to tax evader in trouble for capital gains on investment , excellent and positive measure for Growth and protection of corruption too"	0
His philosophy is as dead today as it was before.....	1
Time has come all leftist student should either banned or left our country......No tollence for these criminals..	1
Crude will it touch $60 in Dec	0
"the most ill-planned, ill-executed move by the government.. its all about politics.. its all about the UP Elections... nothing else... no Black money is coming into the system or anything else.."	0
"Resolve the Kashmir issue , the peace will prevail across the nation ."	0
"I suggest don't answer to anyone opposing Modi.. they have come to a stage where they will criticise anything that he does, I m waiting for the day when modi will say  that fresh air is good for health and people will start opposing it and stop taking fresh air.."	1
It's his wish. Who is this mullana preaching others and interfaring in others religious beliefs ? He's also a citizen of India and have his own religious freedom. Being a CM doesn't mean he do stop believing in the faiths of his religion.	1
Tital itself is biased. India has been subjected to minoritiesm in the name of secularism. Now India is only restoring secularism!	1
"listen mate your eternal father MODI JI  is still your nemesis,"	1
It's important that any stock holding company that the management have a skin in the game. Cyrus Mistry has his skin in the game.	0
